User,Name,Surname,Origin,Gender,Birthdate,Location,Employment,Frequency.Applications,Frequency.Assignment,Frequency.Course_view,Frequency.Feedback,Frequency.General,Frequency.Group_work,Frequency.Instructions,Frequency.La_types,Frequency.Practicals,Frequency.Social,Frequency.Ethics,Frequency.Theory,Frequency.Total,ActivityGroup,Grade.SNA_1,Grade.SNA_2,Grade.Review,Grade.Group_self,Grade.Group_All,Grade.Excercises,Grade.Project,Grade.Literature,Grade.Data,Grade.Introduction,Grade.Theory,Grade.Ethics,Grade.Critique,Final_grade,AchievingGroup
00a05cc62,Wan,Tan,Malaysia ,M,12.12.1996,Remote,None,2,121,103,7,10,55,17,1,89,12,0,0,417,Low activity,0,5,9.67,6,0,10,7.33,9.67,5,10,10,10,10,3.96964390073573,Low achiever
042b07ba1,Daniel,Tromp,Aruba,M,28.5.1999,Remote,None,0,62,294,22,19,323,68,12,69,32,14,3,918,High activity,10,10,8.67,10,8.96,10,7.67,8,4,10,8,6,6,7.93228254525434,Low achiever
046c35846,Sarah,Schmit,Luxembourg,F,25.4.1997,On campus,None,0,41,53,0,11,19,6,7,47,0,0,15,199,Low activity,0,5,6.67,5,2,10,4,6,1,6,2,4,2,4.90367775823174,Low achiever
05b604102,Lian,Abdullah,Yemen,F,19.11.1996,On campus,None,0,44,49,0,10,19,7,8,48,0,0,14,199,Low activity,8,10,6.67,1,3,10,7,6.67,3,6,2,8,4,4.6701692941934,Low achiever
0604ff3d3,Nina,Borg,Malta,F,13.6.1994,On campus,None,0,9,119,9,9,218,7,1,61,0,0,3,436,Low activity,9,9,6,10,9.29,10,4.33,6,3,6,2,2,4,5.09632224176826,Low achiever
077584d71,Mohamed,Gamal,Egypt,M,13.7.1998,On campus,Part-time,21,46,262,50,48,294,115,23,102,24,0,14,999,High activity,10,9.5,9.67,10,8.96,10,10,9.33,5,10,10,6,6,9.97314652656175,High achiever
081b100cf,Maximilian,Gruber,Austria,M,20.12.1999,On campus,None,0,33,189,22,15,320,48,9,71,18,4,3,732,Moderate activity,10,10,7,9,9.03,10,9,5,3,2,2,2,2,8.51605370736418,High achiever
0857b3d8e,Hugo,Pérez,Spain,M,22.12.1998,On campus,None,5,53,226,26,31,367,72,11,81,42,12,18,944,High activity,10,10,9.33,10,8.96,10,10,9.67,4,8,8,10,10,9.41622883923283,High achiever
0af619e4b,Aylin,Barat,Kazakhstan,F,14.8.1995,On campus,None,0,26,58,13,3,81,20,8,42,12,2,3,268,Low activity,7,8,0,2,4,10,6,3.67,1,2,2,2,4,4.90367775823174,Low achiever
0ec99ce96,Polina,Novik,Belarus,F,9.10.1996,On campus,None,0,52,199,8,17,98,37,20,75,2,2,1,511,Moderate activity,7,8,0,4,2,10,7.67,3.67,3,2,2,2,4,6.8884997085996,Low achiever
0ef305578,Jack,White,Australia,M,22.4.1995,Remote,None,9,52,153,14,27,224,41,29,89,17,3,12,670,Moderate activity,10,10,9.33,10,8.56,10,10,9.33,4,8,2,6,6,9.35785172288758,High achiever
111422ee7,Bekim,Krasniqi,Kosovo,M,30.1.1999,On campus,None,0,25,111,24,7,279,27,11,39,8,0,1,532,Moderate activity,10,10,10,10,9.11,10,9.33,10,5,10,10,10,10,9.2446001176343,High achiever
1115dae61,Poema,Wong,Tahiti,F,22.1.1999,Remote,Part-time,9,84,246,42,42,280,91,16,66,17,11,10,914,High activity,10,9,9.83,10,9.11,6.67,7.67,9.33,5,10,6,8,8,7.97314652709881,High achiever
111ad4bea,Brian,Otieno,Kenya,M,9.12.1999,Remote,Full-time,3,23,176,25,17,180,60,12,44,24,16,14,594,Moderate activity,0,9,6,5,4,10,3.67,6.67,4,8,2,4,2,2.80210157651604,Low achiever
113496351,Neema,Bakari,Tanzania,F,8.9.1996,On campus,None,2,115,107,8,10,58,17,2,86,12,0,0,417,Low activity,7,8,6,4,0,0,4.33,6.67,4,6,2,4,6,3.38587273862589,Low achiever
121b44bef,Lina,Meier,Switzerland,F,3.7.1997,On campus,None,0,22,63,10,32,149,16,10,37,3,8,6,356,Low activity,10,10,9.33,10,9.18,10,7.33,9.67,5,10,2,10,10,7.97314652709881,High achiever
13107114f,Elie,Allah,Lebanon,M,24.4.1997,On campus,Full-time,0,50,88,18,1,70,55,2,36,12,7,3,342,Low activity,9,10,6.67,0,3,10,6,6.67,4,6,2,6,6,5.60420315303208,Low achiever
13ae7b9ac,Katerina,Samaras,Greece ,F,28.10.1998,On campus,None,0,42,50,0,11,19,10,6,47,0,0,14,199,Low activity,10,9,6.67,0,4,10,9.33,6.33,3,6,2,8,4,4.6701692941934,Low achiever
1434f44e1,Natalia,Petrova,Russia,F,17.11.1997,On campus,Part-time,8,53,153,14,26,223,43,27,87,20,3,12,669,Moderate activity,10,10,10,10,9.29,10,8.33,10,5,10,10,10,10,9.58085230595691,High achiever
176bb0f33,Alma,Nielsen,Denmark ,F,26.5.1998,On campus,None,34,74,166,10,51,210,46,16,90,2,11,10,720,Moderate activity,9,10,8.33,10,9.18,10,10,7.33,5,8,8,8,6,8.51605370736418,High achiever
17d06c355,Khaled,Gawas,Oman,M,14.4.1991,Remote,Part-time,0,54,194,7,20,101,39,20,71,2,2,1,511,Moderate activity,7,10,7.33,1,1,0,0,7.67,4,8,2,4,6,6.8884997085996,Low achiever
1813081bd,James,Johnson,USA,M,5.7.1999,On campus,None,37,77,171,8,50,211,41,14,88,3,10,10,720,Moderate activity,10,10,9.33,10,9.42,10,9.33,9.33,5,8,2,10,8,8.58844133211566,High achiever
1be68632e,Karim,Trabelsi,Tunisia,M,5.3.1999,On campus,None,0,38,110,24,3,210,27,2,58,15,16,10,513,Moderate activity,5,9,8,9,9.03,10,8,7.67,5,8,8,6,4,9.22708698179085,High achiever
1dddd964c,Omar,Saidi,Algeria,M,1.1.1994,Remote,None,0,40,138,20,7,263,23,11,81,2,0,3,588,Moderate activity,9,10,7.33,9,9.03,6.67,7.67,8.67,3,6,8,4,6,5.01342673739047,Low achiever
1eee1b944,Artem,Melnyk,Ukraine ,M,17.4.1999,On campus,Part-time,10,57,196,71,15,345,23,16,109,15,10,20,887,High activity,9,9,9.83,10,9.65,6.67,10,9.83,5,8,6,10,10,9.03911266772306,High achiever
215b886a6,Ruoxi,Li,China,F,22.2.1996,On campus,None,0,21,117,26,7,281,26,11,38,5,0,1,533,Moderate activity,10,10,9.33,9,8.96,10,8,9.67,4,10,2,10,10,9.35785172288758,High achiever
247247ac7,Ria,Joensen,Faroe Islands,F,24.1.1996,On campus,None,7,66,54,14,26,139,9,16,52,1,8,14,406,Low activity,9,9,3.67,10,9.11,10,7.33,3.67,2,2,2,2,2,5.85055458344512,Low achiever
278a75edf,Marwa,Singh,Qatar,F,29.3.1996,Remote,None,0,135,209,12,26,251,20,18,129,5,16,11,832,High activity,9,10,7.33,10,8.56,10,5.33,7.33,4,6,2,6,6,7.0262697032281,Low achiever
29049945c,Shu-fen,Chun,Taiwan,F,13.11.1992,On campus,None,0,75,281,35,24,614,72,14,104,46,1,9,1275,High activity,9,10,7.33,10,9.29,10,4,7.33,4,6,4,4,4,7.27262113364114,Low achiever
2c2845d52,Eleni,Georgiou,Cyprus,F,14.8.1998,On campus,None,0,49,203,7,16,103,37,22,69,3,1,1,511,Moderate activity,7,10,7.33,1,1,0,0,7.67,4,8,2,4,6,6.8884997085996,Low achiever
2dba4eea6,Luciana,Torres,Colombia,F,12.9.1998,On campus,None,0,23,112,28,7,284,28,11,35,4,0,1,533,Moderate activity,10,10,9.83,10,9.11,10,9.67,9.67,5,10,10,10,10,9.45242265026589,High achiever
308044e91,Luna,Rivera,Puerto Rico,F,21.2.1997,On campus,Part-time,0,43,48,0,10,17,7,7,53,0,0,14,199,Low activity,0,5,6.67,5,2,10,4,6,1,6,2,4,2,4.90367775823174,Low achiever
